,RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
89,90," Murphy, J",NYY,C,67,155,21,43,9,1,3,14,12,43,0,0,.277,.327,.406,.734,0,1,1,3,63,13,4,42,35,1.20,663,172
90,91," Encarnacion, E",TOR,DH,146,528,94,146,31,0,39,111,77,98,3,2,.277,.372,.557,.929,5,9,0,10,294,70,14,147,161,0.91,2517,624
91,92," Butler, J",TB,LF,88,257,30,71,12,0,8,30,16,82,5,2,.276,.326,.416,.742,0,3,0,0,107,20,16,92,28,3.29,1057,276
92,93," Zobrist, B",KC,2B,126,467,76,129,36,3,13,56,62,56,3,4,.276,.359,.450,.809,3,1,0,5,210,52,8,160,135,1.19,2157,535
93,94," Beltran, C",NYY,RF,133,478,57,132,34,1,19,67,45,85,0,0,.276,.337,.471,.808,2,2,0,6,225,54,12,121,158,0.77,2069,531
94,95," Arcia, O",MIN,LF,19,58,6,16,0,0,2,8,4,15,0,0,.276,.338,.379,.718,4,2,0,1,22,2,2,12,18,0.67,224,65
95,95," Navarro, R",BAL,2B,10,29,5,8,2,0,1,3,0,3,0,0,.276,.276,.448,.724,0,0,1,0,13,3,0,4,15,0.27,93,30
96,97," Springer, G",HOU,RF,102,388,59,107,19,2,16,41,50,109,16,4,.276,.367,.459,.826,0,8,2,3,178,37,4,102,79,1.29,1790,451
97,98," Choo, S",TEX,RF,149,555,94,153,32,3,22,82,76,147,4,2,.276,.375,.463,.838,1,15,2,5,257,57,7,174,95,1.83,2606,653
98,99," Paredes, J",BAL,DH,104,363,46,100,17,2,10,42,19,111,4,4,.275,.310,.416,.726,0,0,0,2,151,29,8,97,65,1.49,1408,384
99,100," Swihart, B",BOS,C,84,288,47,79,17,1,5,31,18,77,4,2,.274,.319,.392,.712,0,1,2,0,113,23,8,83,59,1.41,1210,309
100,101," Cabrera, M",CWS,LF,158,629,70,172,36,2,12,77,40,88,3,0,.273,.314,.394,.709,2,2,2,10,248,50,18,214,185,1.16,2572,683
101,102," Carrera, E",TOR,LF,91,172,27,47,8,0,3,26,11,45,2,1,.273,.321,.372,.693,0,2,5,2,64,11,1,63,25,2.52,728,192
102,103," Ortiz, D",BOS,DH,146,528,73,144,37,0,37,108,77,95,0,1,.273,.360,.553,.913,16,0,0,9,292,74,16,156,158,0.99,2488,614
103,104," Jackson, A",SEA,CF,107,419,46,114,18,3,8,38,24,107,15,9,.272,.312,.387,.699,0,1,3,1,162,29,4,125,81,1.54,1871,448
104,105," Reddick, J",OAK,RF,149,526,67,143,25,4,20,77,49,65,10,2,.272,.333,.449,.781,1,0,1,2,236,49,7,146,182,0.80,2296,582
105,106," Giavotella, J",LAA,2B,129,453,51,123,25,5,4,49,32,59,2,1,.272,.318,.375,.694,0,2,9,6,170,34,7,158,135,1.17,1756,502
106,107," Gordon, A",KC,LF,104,354,40,96,18,0,13,48,49,92,2,5,.271,.377,.432,.809,7,14,0,5,153,31,2,79,94,0.84,1683,422
107,108," Young, D",BAL,RF,52,174,20,47,6,0,2,16,4,29,0,0,.270,.289,.339,.628,0,1,0,1,59,8,8,59,48,1.23,605,180
108,109," Shaw, T",BOS,3B,65,226,31,61,10,0,13,36,18,57,0,1,.270,.327,.487,.813,1,2,0,2,110,23,1,51,60,0.85,1022,248
109,110," Longoria, E",TB,3B,160,604,74,163,35,1,21,73,51,132,3,1,.270,.328,.435,.764,8,6,0,9,263,57,11,150,179,0.84,2536,670
110,111," Aybar, E",LAA,SS,156,597,74,161,30,1,3,44,25,73,15,6,.270,.301,.338,.639,1,4,7,5,202,34,12,241,146,1.65,2155,638
111,112," Jones, A",BAL,CF,137,546,74,147,25,3,27,82,24,102,3,1,.269,.308,.474,.782,3,8,0,3,259,55,21,179,142,1.26,1996,581
112,113," Sano, M",MIN,RF,80,279,46,75,17,1,18,52,53,119,1,1,.269,.385,.530,.916,1,1,0,2,148,36,4,39,52,0.75,1455,335
113,114," Tolleson, S",TOR,2B,19,41,9,11,5,1,0,3,4,9,2,0,.268,.333,.439,.772,0,0,0,0,18,6,1,17,5,3.40,143,45
114,115," Jennings, D",TB,LF,28,97,9,26,2,1,1,7,8,17,5,3,.268,.324,.340,.664,0,1,0,2,33,4,2,39,19,2.05,418,108
115,116," Wieters, M",BAL,C,75,258,24,69,14,1,8,25,21,67,0,0,.267,.319,.422,.742,0,0,0,3,109,23,4,74,55,1.35,1171,282
116,117," Rosario, E",MIN,LF,122,453,60,121,18,15,13,50,15,118,11,6,.267,.289,.459,.748,3,0,3,3,208,46,5,105,120,0.88,1692,474
117,118," Hoes, L",HOU,RF,8,15,1,4,0,0,0,1,1,3,0,0,.267,.313,.267,.579,0,0,0,0,4,0,0,5,3,1.67,55,16
118,118," Martinez, M",CLE,LF,16,30,7,8,2,0,0,2,1,12,0,1,.267,.290,.333,.624,0,0,1,0,10,2,1,10,2,5.00,134,32
119,120," Seager, K",SEA,3B,161,623,85,166,37,0,26,74,54,98,6,6,.266,.328,.451,.779,6,5,0,4,281,63,17,161,219,0.74,2537,686
120,121," Shuck, J",CWS,RF,79,143,15,38,8,2,0,15,16,16,7,5,.266,.340,.350,.689,0,1,3,2,50,10,2,62,34,1.82,622,165
121,122," Collins, T",DET,LF,60,192,18,51,11,3,4,25,13,43,2,1,.266,.316,.417,.732,0,1,1,0,80,18,2,49,52,0.94,752,207
122,123," Cabrera, A",TB,SS,143,505,66,134,28,5,15,58,36,107,6,3,.265,.315,.430,.744,4,3,1,6,217,48,14,128,157,0.82,2067,551
123,124," Mauer, J",MIN,1B,158,592,69,157,34,2,10,66,67,112,2,1,.265,.338,.380,.718,12,1,1,5,225,46,22,242,109,2.22,2715,666
124,125," Guyer, B",TB,LF,128,332,51,88,21,2,8,28,25,61,10,4,.265,.359,.413,.771,0,24,3,1,137,31,5,95,97,0.98,1426,385
125,126," Gregorius, D",NYY,SS,155,525,57,139,24,2,9,56,33,85,5,3,.265,.318,.370,.688,0,11,3,6,194,35,4,157,157,1.00,2093,578
126,127," Urrutia, H",BAL,LF,10,34,3,9,1,0,1,6,2,3,0,0,.265,.306,.382,.688,0,0,0,0,13,2,1,14,9,1.56,121,36
127,128," McCann, J",DET,C,114,401,32,106,18,5,7,41,16,90,0,1,.264,.297,.387,.683,0,3,4,1,155,30,17,139,88,1.58,1501,425
128,129," Almonte, A",CLE,CF,51,178,30,47,9,5,5,20,16,33,6,0,.264,.321,.455,.776,0,0,0,2,81,19,4,65,39,1.67,729,196
129,130," Trumbo, M",SEA,RF,96,334,39,88,13,0,13,41,26,93,0,0,.263,.316,.419,.735,1,0,0,1,140,26,8,74,88,0.84,1402,361
130,131," Kiermaier, K",TB,CF,151,505,62,133,25,12,10,40,24,95,18,5,.263,.298,.420,.718,0,2,2,2,212,47,7,156,132,1.18,1954,535
131,132," Cron, C",LAA,1B,113,378,37,99,17,1,16,51,17,82,3,1,.262,.300,.439,.739,1,5,0,3,166,34,9,112,97,1.15,1534,404
132,132," O'Malley, S",SEA,LF,24,42,10,11,1,0,1,7,12,14,3,0,.262,.418,.357,.775,0,0,2,1,15,2,0,13,7,1.86,215,57
133,134," Davis, C",BAL,1B,160,573,100,150,31,0,47,117,84,208,2,3,.262,.361,.562,.923,6,8,0,5,322,78,6,109,117,0.93,2786,670
134,135," Escobar, E",MIN,SS,127,409,48,107,31,4,12,58,28,86,2,3,.262,.309,.445,.754,1,2,2,5,182,47,7,114,116,0.98,1762,446
135,136," De Aza, A",BOS,LF,90,264,39,69,13,6,7,32,19,70,5,3,.261,.319,.436,.755,3,4,2,1,115,26,3,68,63,1.08,1177,290
136,137," DeShields, D",TEX,LF,121,425,83,111,22,10,2,37,53,101,25,8,.261,.344,.374,.718,1,3,7,4,159,34,1,112,113,0.99,1923,492
137,138," Bird, G",NYY,1B,46,157,26,41,9,0,11,31,19,53,0,0,.261,.343,.529,.871,0,1,0,1,83,20,1,19,46,0.41,746,178
138,139," Vogt, S",OAK,C,136,445,58,116,21,3,18,71,56,97,0,2,.261,.341,.443,.783,6,2,0,8,197,42,9,115,134,0.86,2102,511
139,140," Odor, R",TEX,2B,120,426,54,111,21,9,16,61,23,79,6,7,.261,.316,.465,.781,2,14,2,5,198,46,3,124,122,1.02,1755,470
140,141," Perez, S",KC,C,142,531,52,138,25,0,21,70,13,82,1,0,.260,.280,.426,.706,4,4,0,5,226,46,23,179,160,1.12,1840,553
141,142," Lawrie, B",OAK,3B,149,562,64,146,29,3,16,60,28,144,5,2,.260,.299,.407,.706,1,5,3,4,229,48,8,161,126,1.28,2297,602
142,143," Gardner, B",NYY,LF,151,571,94,148,26,3,16,66,68,135,20,5,.259,.343,.399,.742,1,6,8,3,228,45,8,162,145,1.12,2732,656
143,144," Headley, C",NYY,3B,156,580,74,150,29,1,11,62,51,135,0,2,.259,.324,.369,.693,0,7,0,4,214,41,17,169,147,1.15,2561,642
144,145," Andrus, E",TEX,SS,160,596,69,154,34,2,7,62,46,78,25,9,.258,.309,.357,.667,1,2,8,9,213,43,14,206,189,1.09,2444,661
145,146," Davis, R",DET,CF,112,341,55,88,16,11,8,30,22,76,18,8,.258,.306,.440,.746,0,3,1,3,150,35,5,92,94,0.98,1382,370
146,147," Miller, B",SEA,SS,144,438,44,113,22,4,11,46,47,101,13,4,.258,.329,.402,.730,0,2,4,6,176,37,7,132,109,1.21,1788,497
147,148," Semien, M",OAK,SS,155,556,65,143,23,7,15,45,42,132,11,5,.257,.310,.405,.715,1,1,1,1,225,45,16,140,159,0.88,2369,601
148,149," Sizemore, G",TB,RF,58,175,20,45,12,0,6,27,14,37,3,3,.257,.318,.429,.746,0,2,0,1,75,18,1,40,55,0.73,711,192
149,150," Freese, D",LAA,3B,121,424,53,109,27,0,14,56,31,107,1,1,.257,.323,.420,.743,0,12,0,3,178,41,12,142,81,1.75,1842,470
150,151," Garcia, A",CWS,DH,148,553,66,142,17,2,13,59,36,141,7,7,.257,.309,.365,.675,3,8,0,4,202,32,13,175,112,1.56,2142,601
151,152," Ellsbury, J",NYY,CF,111,452,66,116,15,2,7,33,35,86,21,9,.257,.318,.345,.663,1,7,1,3,156,24,6,131,129,1.02,1881,501
152,153," Escobar, A",KC,SS,148,612,76,157,20,5,3,47,26,75,17,5,.257,.293,.320,.614,1,8,11,5,196,28,10,218,188,1.16,2311,662
153,154," Santana, D",HOU,RF,14,39,6,10,2,0,2,8,2,17,2,1,.256,.310,.462,.771,0,1,0,0,18,4,1,10,3,3.33,177,42
154,155," Hicks, A",MIN,CF,97,352,48,90,11,3,11,33,34,66,13,3,.256,.323,.398,.721,2,2,0,2,140,25,6,100,104,0.96,1510,390
155,156," Calhoun, K",LAA,RF,159,630,78,161,23,2,26,83,45,164,4,1,.256,.308,.422,.731,1,5,2,4,266,51,6,165,152,1.09,2557,686
156,157," Romine, A",DET,SS,109,184,25,47,5,0,2,15,11,46,10,5,.255,.307,.315,.622,1,3,4,1,58,7,4,65,35,1.86,756,203
157,158," Gimenez, C",TEX,C,36,98,19,25,6,1,5,14,10,19,2,0,.255,.330,.490,.820,0,1,4,0,48,12,2,33,27,1.22,435,113
158,158," Teixeira, M",NYY,1B,111,392,57,100,22,0,31,79,59,85,2,0,.255,.357,.548,.906,6,6,0,5,215,53,7,105,114,0.92,1815,462
159,160," Castellanos, N",DET,3B,154,549,42,140,33,6,15,73,39,152,0,3,.255,.303,.419,.721,1,1,0,6,230,54,21,139,145,0.96,2317,595
160,161," Rios, A",KC,RF,105,385,40,98,22,2,4,32,15,67,9,0,.255,.287,.353,.640,0,5,0,6,136,28,10,108,128,0.84,1533,411
161,162," Canha, M",OAK,LF,124,441,61,112,22,3,16,70,33,96,7,2,.254,.315,.426,.742,0,8,0,3,188,41,9,118,127,0.93,1892,485
162,163," Gose, A",DET,CF,140,485,73,123,24,8,5,26,45,145,23,11,.254,.321,.367,.688,0,3,2,0,178,37,11,153,78,1.96,2131,535
163,164," Navarro, E",LAA,LF,54,83,9,21,4,0,0,5,5,16,0,2,.253,.295,.301,.597,1,0,0,0,25,4,5,32,19,1.68,339,88
164,165," Hamilton, J",TEX,LF,50,170,22,43,8,0,8,25,10,52,0,0,.253,.291,.441,.732,0,0,0,2,75,16,1,46,32,1.44,674,182
165,166," Castillo, R",BOS,LF,80,273,35,69,10,2,5,29,13,54,4,5,.253,.288,.359,.647,0,1,1,1,98,17,11,111,52,2.13,1040,289
166,167," Young, C",NYY,RF,140,318,53,80,20,1,14,42,30,73,3,1,.252,.320,.453,.773,2,3,3,2,144,35,6,77,99,0.78,1418,356
167,168," Butler, B",OAK,DH,151,538,63,135,28,1,15,65,52,101,0,0,.251,.323,.390,.713,4,7,0,4,210,44,26,195,137,1.42,2248,601
168,169," Rodriguez, A",NYY,DH,151,523,83,131,22,1,33,86,84,145,4,0,.250,.356,.486,.842,5,6,0,7,254,56,17,152,119,1.28,2503,620
169,170," Bautista, J",TOR,RF,153,543,108,136,29,3,40,114,110,106,8,2,.250,.377,.536,.913,2,5,0,8,291,72,19,143,185,0.77,2741,666
170,171," Dyson, J",KC,RF,90,200,31,50,8,6,2,18,14,37,26,3,.250,.311,.380,.691,0,4,6,1,76,16,3,80,43,1.86,838,225
